"","X","score","text","emotion","polarity"
"26",26,34,"http://youtu.be/0zqGgBe1bPo (Unboxing video of the kindle, simple and short)This is an amazing tablet!  I ""Upgraded: from the original fire HD to this mini tablet!  Why? Well first the original fire HD was getting outdated and a lot of apps I needed wouldn't work on it.  Apps like Dish Anywhere did not work on the old fire HD.  Newer apps didn't work well or at all on the older fire OS..  With that being said, I wanted to update to fire OS 4!!  Fire OS 4 is a big big improvement from previous fire OS systems.  New fire customers do need to keep in mind that even though fire OS is based on Android, there is no google play.  You have to use the amazon app store But i have never had any problems with that.  With the new fire os my dish network app works now!! The app store now has more apps and newer apps..  The kindle works better with new amazon technology's such as second screen.. Second screen did work on the original fire HD, it came as an update, but it was very sluggish.  Now with the new kindle it is fluid and works like it is supposed to.Another reason I purchased this tablet was bc of its size.  This tablet will fit in your back pocket or cargo pants very easily!!  I know I could have got another 7 inch tablet but for me the 6 inch is the perfect size!!  I got into kindles originally because of their size.  I dont use my tablet as a computer so I don't want a big 9 or 10 inch tablet..  This 6 inch is actually my favorite size for a media device!I big plus is that Amazon now includes the charger block again with their tablets!  All for $99!!  My original fire HD I had to purchase a $20 charger block.. The block that comes with the smaller kindle 6 inch is smaller which I like..This tablet has a much more powerful processor than the original fire HD.  It has two extra cores and the difference is VERY VERY noticeable!  The 4 core processor is great for multitasking!If you use services like ""Prime Music"", ""Prime Instant Video"", or any other amazon service, these tablets are a must!! They work much better than android or apple tablets using these services..  Fire tablets also run apps like netflix fine so if you don't use prime, netflix will work great!!The quality of this tablet is amazing!! Have you ever felt the cheap tablets at best buy?  If so, you know they feel and look like crap!! This tablet feels and looks like a $200 - $300 tablet!! Very durable and seems to be very very well built!! They took time designing the tablet, and that can be seen.. One example is the camera, lots of phones and tablets put the lens flat with the back of the phone or tablet.  The kindle lens is slightly lower than the back of the tablet!! Why is this important?  If you lay your tablet flat, this keeps the lens from scratching.Lastly, I cant stress enough that if you plan to purchase this tablet thinking it is an android tablet ready to use google play and other android services you might be disappointed!  But please don't purchase this tablet to leave it a bad review for something ""its not"".. because it's not an android google tablet.  Its a kindle fire HD and its amazing once you get used to it :-)Special offers dont bother me PLUS i have found some great deals and trials through the special offers!!  I recommend not paying the extra to turn off offers, but that is just my opinionEDIT:  After my first day using the tablet I can confirm it is a very big and welcomed upgrade over the original kindle fire HD.  The screen looks MUCH better (Yes, it is the same resolution but the smaller screen makes it clearer).Another function I have been really enjoying is the built in bluetooth.  I have been playing prime music on the tablet all day over my bluetooth speakers!!  The original fire HD also had bluetooth BUT the bluetooth on this new kindle seems to work much much better!","joy","positive"
"27",27,6,"I may have been spoiled by hubby's Nexus devices. While only sporting 7"" screens, they make the most of the real estate and have fabulous visuals and specs to boot. Sadly, the Fire HD6 fails to meet my lofty expectations. From the start, it feels thicker, clunkier and heavier (though it is lighter!) than the larger Nexus 7. The screen almost looks to be set further into the device. It's resolution is 1280 x 800 (252ppi), which is a far cry from the 1920 x 1200 (323ppi) I'm used to. For a stand alone reader that would be fine. When a major selling point is full access to Amazon Prime features like the HD VOD service, that isn't so fine. More on that later. Both sport Corning Gorilla Glass, both have front and rear cameras, both have quad-core processors,wi-fi, bluetooth and access to a wide array of apps. So, since one is more expensive than the other, you'd be inclined to forgive the screen issues and focus on what Amazon got right. Right?What amazon got right was the price. Sold for as low as $84 recently, you'd be hard-pressed to find a quad-core device of equal build quality for less. And with 1GB of RAM, it should handle light mobile games, email and some light web browsing with aplomb. But when you get to the software, that's where things go off the rails for me. Amazon skinned over the lovely Android OS with their own proprietary features, much to the detriment of the user experience. Perhaps it's because I'm used to a pure Android experience, but the devices seems seriously hamstrung by the Fire OS. You lose access to the Google Play store, you lose access to a synced Chrome (and all it's bookmarks with no way to import them), you lose access to the device synchronicity you're accustomed to, and you're forced into an ecosystem that is geared towards Amazon consumption at the cost of being truly user friendly. I found myself constantly frustrated by trying to do what I've been doing with my Android devices for years now, only have to try to learn Amazon's way of doing it instead. Yuck. What's worse is when you get into heavy web browsing, downloading, or typing, you get so much lag you want to fling the thing into the nearest wall. All the ports are at the top of the device, the single rear speaker is absolutely awful, and the camera, at 2MP, is positively anemic. Though it does sport an HDR mode and a wide array of editing tools, the pictures will never be anything to write home about, especially in low light conditions. The screen size is frustrating for me tapping and touching with normal sized fingers, and Hubby couldn't do squat with his much bigger Hubby paws. Amazon does sport it's own app store, but more than a few of the versions of the apps available, while seemingly identical to their Google App and Apple App Store cousins, are usually a few versions behind. Because, let's face it, there are two big dogs on the app block, and it doesn't make sense to spend a bundle on development for the two little dogs with very little market penetration, Amazon and Windows. Amazon has also locked the bootloader, which means no third party development is available, which is another huge upside for normal Android devices, and a hinderance for Kindles.I like having access to my Amazon Prime benefits. I like being able to stream my free video and audio benefits seamlessly. I like the Kindle features that go above and beyond the Kindle apps available for all my other devices. I like that it is small enough to drop in my purse and not know it's there. It seems to be very sturdily built with unobtrusive buttons that don't get hit accidentally. And I like the price. Aside from that, there is also plenty to make me say that I doubt I'd buy a Kindle on my own any time soon. The proprietary, frustrating nature of the OS. The ads on the lock screen. The focus on the ""Amazon experience"" and not the customer experience. The lack of synchronicity. The screen. And some personal experience. The memory on my first device was corrupted, and the charging port was borked. Amazon sent a replacement next-day air. But after several rounds with their ""customer service"" chat to figure out how to connect the device to my TV for a true HD video experience (6 different chats got me 6 different failed methods), I eventually gave up and resigned myself to a 6"" sub-HD screen for the foreseeable future. I also don't know how I only have 3.5 GB of space on a 8GB device when it arrives. Too small to download a movie, and very little space for apps, media, or really, anything. I've used Samsung Galaxy Devices, LG devices, Asus devices, and Nexus devices. Kindle is dead last in my user experience.I wanted to like my Kindle. I wanted one for some time. Amazon shot for the moon with their Kindle devices and instead, for me, shot themselves in the foot. Perhaps I expected too much. If it's for youngsters, you have a relatively well built, relatively inexpensive device that they can stream the occasional video, play a few games, and read a few books. For a grown up, you're better off buying a grown up device. I received the above product(s) free of charge from Third Voice Marketing.  I am not obligated to provide a positive or favorable review, just my honest opinion.  My review is based on my experience with the product and/or brand, which may differ from yours.","joy","neutral"
"28",28,2,"Pretty neat tablet but not too satisfied. Camera is not good and the screen breaks easy if drop maybe 4 to 6 inches high. Got it for Christmas and use it for 2 months now it's trash :( broken screen will never be covered by their warranty.","joy","positive"
"29",29,4,"If you are looking for a topnotch e-reader, forget buying a Paperwhite -- for less money, the HD6 gives a great and easy reading experience, with beautiful color and light -- PLUS all the internet features you need for Facebook, email, web surfing, and YouTube videos.  This can't be beat!","joy","neutral"
"30",30,-3,"This tablet is terrible.  I ordered it for the conveniently portable size, and my sister-in-law loves her Fire HDX.  However, this little brother did not live up to expectations at all.  First of all, although the HD 6 started out working fast, downloading and running apps with no problems, after just a few minutes of use, it began to bog down and lag behind.  While reading a digital publication, I tried to scroll down to continue reading the page I was on and it started to lag behind.  It would not stay with my finger and the page began to move erratically.  Then, the text blurred and the screen got stuck in between 2 pages.  After several seconds, it finally caught up but was almost totally unresponsive to my touch.  I tried removing the apps I had downloaded and reinstalling them to see if that was the problem.  It worked perfectly for a few minutes again, but then went right back to being slow and glitch-y again.  I'm returning it today.","joy","neutral"
"31",31,3,"Very happy with it so far. I've read, surfed the web, watched TV programs, listened to music, and taken a few pictures.  I'm not that tech savvy, and I'm still getting used to it, but I think this is a great product, and would recommend it to family and friends.  I will update this review at a later date if I run into problems.","joy","positive"
"32",32,5,"I seriously do not understand the one star reviews. If you read the product description, which is very through, you will understand that this tablet is Amazon-centric. $99 for the ability to do immersion reading (listening to audio books while the kindle book reader highlights the words), have access to Prime video and music (xray for prime video is amazing), do some web browsing, shop Amazon, and play a few games; what is there to gripe about. The tablet runs very smoothly, has a very easy to use interface and lasts me a whole day before needing to be recharged. I also love the case. It has magnets that actually keep the flap in place in both the closed and open position. The little crease in the cover allows the tablet to sit in portrait or landscape. I can't imagine a better value for an entertainment / media consumption device. If you want serious gaming or have major productivity needs then buy a Tab S or an iPad, both of which cost four times the price or more. In case you can not tell by now, I am very smitten with my 6"" fire HD.","joy","positive"
"33",33,6,"I bought this for my 3 1/2 year old son. This was the perfect purchase!  It is small enough for him to carry around, yet big enough for me to ""borrow"" at times.  It even allows him to download a movie to watch in the car, where there is no access to WiFi.  I LOVE the parental control and FreeTime features.  I can require him to read books for a given period of time, i.e. 30 minutes, before he is able to watch movies or play games.  I can also set it to shut down at a particular time on weekdays, and set a separate time for weekends.  There are more than enough books, games, and apps for him to enjoy!","joy","positive"
"34",34,11,"Okay, I will admit it. I have always been a Kindle skeptic. I would consider myself pretty experienced with tablets, but they have always been on the android platform. I have heard mixed reviews about this particular tablet, but let me tell you, I was beyond impressed. I never thought a little six inch tablet would pack this much punch.This does have a good weight to it, which I like. I opened this up and the setup process took less than 5 minutes. It synced effortlessly to my amazon account and I can now watch movies, look at photos, and read my books with no issues. I have experienced zero lag, even after installing about a dozen apps. The layout is a little different than other tablets, but it was very easy to figure out. Everything loads very fast. I think one of my favorite features is that it imports my photos to the cloud (but has unlimited photo storage for pictures) so I can access all of my photos from all of my devices! It is great to have them all in one place.Obviously, this opens books like a dream. The camera is pretty good for a tablet. My phone has a better camera, but I do not expect very high quality photos from a tablet. This blew my expectations out of the water!I definitely recommend! I received this product for review purposes.","joy","positive"
"35",35,14,"For a tablet at such an excellent price, ($99 compared to a whopping $500 for my iPad) I am beyond impressed with my new Kindle Fire HD 6. The HD looks pretty great (I watched some Netflix on it and wow!), the App Store is very intuitive, and I even enjoy reading books on it more than on my iPad. I was expecting it to be lighter than it is for such a small tablet however it is not uncomfortable to hold even for long periods of time.I was unsure about purchasing this with special offers but I'm very glad I saved the extra $20 and got it with the special offers since they do not bother me. The ads are only on the lock screen and home screen and does not affect reading or use of applications. I think it is perfect for reading books and enjoying some fun applications as well. I would definitely recommend this and think it's a fantastic gift for a more than reasonable price. I received this at a discount in exchange for my honest review.","joy","positive"
"36",36,14,"I love this new generation of Fire HD! I've had Kinde 2nd generation and an iPad mini. I sold iPad mini and kept Kindle, now this Fire HD will replace my old Kindle. Now, many people who give this device 1 star reviews are upset about not being able to use Google Play store. I am a very light app user, meaning I only have about 3-4 games I play and two apps for videos. My Fire tablet has exactly same apps I have on my Android phone, Amazon app store completely satisfies my needs. Why is this in my opinion better than iPad? And at the same time worse? Because I use tablet only for watching tv shows on Netflix and reading books. Having $500 iPad just for that is a shame. This tablet has a great screen, very responsive, video quality is amazing!!! Books..omg I love Amazon library..everything is so cheap, and as a prime member I get one book of my choice for free once a month. Super happy. If you want to use your tablet for way more than that - like do some work on it, some heavy web browsing or gaming - you probably need to get a regular Android tablet, because this is not. This is kindle fire, made for watching videos and reading books primarily, for having excess to huge music, ebook and video Amazon library , thats its main purpose... Know what to expect when you order it, so you don't get disappointed. I personally love it very much. This great new size is perfect for just throwing it in the handbag and taking it with you everywhere, just like you take your phone ..I highly recommend this tablet for everyone who feels this tablet is enough for them. I know its definitely enough for me!","joy","positive"
"37",37,-1,"Well to start off this was a decent little tablet that I had bought for my wife.  The reason I am writing this review today is that I had the unfortunate experience of having seen the Kindle Fire HD drop test commercial on TV.  Apparently it can fall off of a car and still work.  Unfortunately with the one I bought that was not the case.  My wife dropped it from a distance of about 2 ft off the ground and it landed flat on its back on a linoleum floor in the Amazon brand origami case.  When she picked it up the screen was not cracked at all but there were lines and screen discoloration.  I email Amazon customer service and they said that they would replace it, but then I got a second email that stated they needed more information.  So I used voice chat with a customer service representative and explained again what happened and that yes it had been dropped.  Due to it being dropped they would not replace it, which I understood, so I asked if they could repair it or give me a better price on one and send this one in so it could be refurbished.  They said they do not repair them.  So then I asked how much could you take off if I sent this broken one in so you could fix it and resell it as refurbished.  I believe they quoted me at $127, which seemed to be not such a fair deal.  So I just said no thanks and bought my wife a Galaxy Tab 4 7 inch.  I know that the old Galaxy Tab 1 that I had was made with Gorilla Glass, the Fire HD 6 certainly is not as strong as the first generation Galaxy Tab.  As a matter of fact when you push on the screen you can feel it indent or give, but with the Galaxy Tab there is no give.  I had even dropped the Galaxy Tab on its corner unprotected and it still worked, but left a ding cosmetically.  Maybe the short fall breaking the HD 6 has something to do with the tablets weight, for its size it feels like a little brick and is quite heavy.  Again the only reason I'm reviewing this now is that I saw the drop test commercial and thought, Oh really, just don't assume that you will get a replacement when it does fall as advertised.","sadness","neutral"
"38",38,4,"First of all, let me talk about the price. Amazon is trying to compete with companies like Apple and Samsung for a spot in the tablet world, and Amazon found their competitor's weak point-the price! The last time I checked, you cannot buy an iPad for under $100, nor can you purchase a Samsung Note for that price either. Although the HD 6 does not have the full range of capabilities that the other tablets have, it is still an amazing piece for the price. One thing that I did not like was the fact that I cannot change the wallpaper. Having used Apple devices all of my life, that has been common for me, and even though it is kind of a small thing, it still might matter to some people.THE GOOD--amazing price-size is perfect for ""on the go"" people-Amazon customer service is very helpful if you need help operating the tablet-makes a great gift for anyoneTHE BAD--Although the Amazon music store is good, the app store is limited-The headphone jack must be flawed because it sounds staticy when I plug it inWARNINGS--Do not be fooled by ""special offers."" When you buy the tablet for the base price of $99, it automatically comes with this feature called special offers. This gives Amazon the right to put ads on your lockscreen. Although the ads do not interfere with the rest of the tablet's features, the lockscreen ads can be cumbersome occasionally. YOU CAN OPT OUT of the special offers for $15 more.-Also, go with the 16 G model, because the 8 G model only comes with 4.5 Gigs of storage available to the user.","joy","neutral"
"39",39,8,"I've used the regular kindle, both original, fire, and fire hd.  Never liked the fires.  Thought they were too heavy and they didn't quite fit in my hand  comfortably.  And being a diehard bibilophile, I much prefer paper copy.  But I'm seriously considering one of these.Pros:smaller size doesn't make a noticeable difference, surprisingly.  the picture is very clear, which helps.  there are a few apps that are just too small to use well, but most do fine.Super lightweight compared to Kindle fires.  Light enough to keep in my purse all the time without getting scholiosis.I thought the touch screen was more responsive than kindles, which sometimes balk at my touch.The sides have this funny angling that makes it extremely easy to hold.  Fits perfectly in my open hand without making my fingers cramp. (I have a 8 1/2"" hand span from pinkie to thumb if that helps give you an idea of my hand size)battery life seems to be about the same as kindle hd, but of course will depend on your use and settings.Wi Fi pick up is fine in my house, even thru the brick wall to the addition.NEAT NEW FEATURE:  in the settings you can change the type font size from small med or large.  This is not the font size for books or the internet , but the fonts for the actual kindle, the settings , tabs and so forth.The 'carousel' is still there, but if you actually select books, they are arranged in either list or grid format, with choice of au, ti, or recent.  Still no option for grouping by folders :(Also, when you go to home, what you see are your most commonly used apps and some preloaded things like the camera arranged on one screen.  Swipe down to find the carousel.volume control buttons on one side as with an ipadyour most used apps on on the home page,  and at least some of the apps can run in the background (like pandora) while you use another app.CONsOk, it is smaller, but still much bigger than most phone screens.The camera still shot quality is only acceptable--2x mag, the attached flower photo was taken outside in full sun at arms length.  It's a very peach toned flower, by the way.If there is a manual to tell how to use the camera features, I haven't been able to find it yet.No power light to show when it's charging or done charging (this is probably the biggest disadvantage)and the screen reflectivity is still horrible in bright light.  Using the camera in full sun is pretty much taking 'shots in the dark'.  You won't know what you got until you go back inside.Summary:  I give it 4 stars for bad camera and lack of charging light.  Otherwise, if you want a cheap tablet for internet access and apps, and emergency reading, I think this is really good.  All the cool colors are great too.","joy","neutral"
"40",40,11,"I just received this little device two days ago, Delivered by U.P.S. guy extraordinaire, Sid.  This is my third Kindle Fire.  I'm not a techie.  This new model just really appealed to me.  It's much more comfortable in the hand than my 7"" was. The bright, sharp display is very nice. I NEEDED front- and rear-facing cameras, so that I could use this as my camera. I like the volume buttons on the outside, so convenient when listening to Pandora on my front porch!  I'm sure that I'll find a lot of other stuff to ""like""!  Finally, when I called customer support today, the man who helped me, Bob, was great.  O.K., enough superlatives, DONE!","joy","neutral"
"41",41,12,"This is a great little tablet that fits the inside pocket of my sport coat.  I also own a PaperWhite, but I wanted to access books from Logos as well as other Android apps.Set up was simple.  I logged into my home Wi-Fi network and downloaded and installed apps that I already had from previous ownership of a 2nd generation Fire HD and my current Fire HDX.  I'll be holding onto the HDX, but I wanted the 6 primarily because of it's smaller size.  My intention was to just read books I've purchased through Logos and Olive Tree, but I went ahead and set up my email accounts just to see how this inexpensive version handled things.  I've had no problem setting up Gmail and iCloud email accounts and was able to set up my work email as well.So far the only real problem is with Olive Tree, which crashes every time I try to download purchased books.  I've asked for help from both Amazon and Olive Tree on this and will post here if I find a solution.  All other apps have worked without incident.  I opted for the 16Gb version, but I'm still only loading certain apps such as:  Instapaper, Evernote, LinkedIn, NOAA Weather, 12C Financial Calculator, Microsoft's OneDrive, Adobe Reader, and Calculator Pro all installed without a hitch.  The built-in Calendar and Contact Apps synced up without any problem as well.I've downloaded a couple of books and downloaded and tested an audiobook as well.  The speaker isn't on a par with the HDX's, but I didn't expect them to be and am pleased they're as good as they are.  I tested a couple of songs as well - no problem with all my music in the cloud being on hand - and they sounded as good as the audiobook.As I indicated at the beginning, I didn't buy this as a replacement for my Fire HDX, iPad or iPad Mini, but because I was attracted to the smaller form factor for purposes of reading books available through Android apps as well as my email first thing in the morning before I get out of bed.  The things that surprised me are that the battery life actually seems better than it's elder siblings and that the responsiveness is just as fast as my other tablets.  I've spent more than time with this device than I will under normal circumstances because of all the setup, downloading and testing and I have 30% left on the battery meter after several hours of use.I also ordered the cover Amazon designed for this Kindle.  It, like other Amazon covers, works well and costs more than I'd like.Even though I haven't been able to download my Olive Tree books (yet) I'm still giving the Fire HD 6 a rating of five stars.  At this price I'm very impressed . . . and very pleased.UPDATE - After the first couple of weeks, here are some additional observations:  *  Camera - focus is fine, detail is what you'd expect for a lower pixel camera.  Saturation and contrast are washed out compared to an iPhone5, but I didn't buy the HD 6 for its camera.  For the price, the average user should be more than happy.  If you're really picky about pictures, get a DSLR.  *  Battery life - continues to outpace the HDX 7, which makes sense because the HD 6 isn't using as much processing power as the HDX.  *  Apps - Regarding the problem I mentioned above, both Amazon and the folks at Olive Tree were responsive on offering assistance with the Olive Tree Bible Study app crashing.  In less than two weeks, Olive Tree updated the app and the problem was solved.  *  Responsiveness - I take back my comment about responsiveness being as fast as other tablets.  It's not bad, but there's the occasional lag in refreshing the home screen.  Again, for the price it doesn't bother me.  *  Storage - I opted for the 16 Gb version because I wanted to download commentaries in the Logos and Olive Tree apps and have them available when there was no Wi-Fi.  I'm glad I got the larger capacity or I'd be pushing the limit.  If you're primarily going to use the tablet when Wi-Fi is available you could probably rely on the cloud and go with 8 Gb - otherwise break that three figure barrier and spend the extra twenty bucks.  *  Size - I'm 6'2"" and have fairly large hands, but the small size isn't a problem and for people with smaller hands I imagine the HD 6 will be a pleasure.  I compared the screen size on the HD 6 to that of an HDX 7 and HDX 8.9 when surfing the web.  Of course there's a difference, but it wasn't as dramatic from a usability standpoint as I thought it would be, especially when using Silk's ""reading view"".Three weeks in and I'm more than satisfied with this Fire, especially from a portability and cost standpoint.","joy","neutral"
"42",42,8,"First, let me say, I'm a self-confessed gadget junkie. I own a myriad of electronics (computers, tablets, ereaders, mp3 players), but I've never owned a Kindle Fire device. Until now. I work quite a bit so usually pocket my iPhone, iTouch and sometimes my iPad MiniR when leaving for the day. I've always been attracted to the compact gadgets based on by lifestyle as hefting a heavy tablet or computer is never easy on the back.When I heard about the Fire HD 6, I was intrigued enough to follow reviews in different forums for the past few days and hunt for any reviews of it on Youtube. I decided to bite and picked one up at my local Best Buy store this morning. Ordered online for in-store pickup and had it unboxed and running in less than an hour. It synced all my books, music and apps that I had previous bought when I owned an Android phone. Logged into my Netflix and Hulu Plus accounts and tried out an episdoe to see how it would play. There was absolutely no buffering and the sound quality was great. I know some have said it doesn't compare to the other Fire tablets, but I found it meets, and even exceeds my needs. I've only begun playing with this little device, but I know already it has become one of my favorites and will be coming with me wherever I go. Looking forward to the holidays and picking up a few of these for family members as the device will be a wonderful gift.","joy","positive"
"43",43,1,"Finally! Kindle text to speech that fits in your pocket. I may need to get a life at some point but until then, I can listen to tech books and NIST Special Publications during my 1.5-2 hour daily commute (this will now take the place of my Kindle Fire HDX 8.9""). I've managed to get through some pretty hefty certification books including Shon Harris' excellent CISSP All-in-One Exam Guide 1430 page tome cover to cover 3 times during my commute.The only 'wish list' items I have would be:- add a 1.25 reading speed (or change the control to a slider to broaden the range of values since 1.5 can be too fast for dense legal or technical content. I use ezPDF Reader Pro for the slightly faster reading speed when listening to PDF files),- ignore pictures, lines and symbols that might cause the TTS to freeze or to misidentify the item such as 'currency' for a poorly selected bullet item symbol or read 'underscore underscore underscore underscore...' for a header or footer line.- allow the disabling of acronym and abbreviation assumptions such as DR as doctor, 'g' as grams, etc. ('dee-arrh' and 'gee' would let the reader apply the correct context). It does make for interesting reading when doctor is substituted for ever instance of disaster recovery...I'm totally thrilled with the new, smaller form factor.","joy","neutral"
"44",44,6,"As this is my 5th kindle I have ever had I have to say that this is the best one I have ever had, it is quick and very cute is size , I have the white one and I just love it #the best thing sense sliced bread Amazon has my 100% support on this kindle , you guys have done a GREAT job","joy","positive"
"45",45,16,"I love this Kindle.  Its not too big and not too small.  Its just the right size to fit right into my purse.  The features are unbelievable.  I like that it connects fast to the internet and it is easy to navigate.  It take great pictures and the sound quality is pretty great too!  It is really fast when switching between screens.  It has a front and rear facing camera and that is wonderful.  What i really think is cool, is that I can make different profiles on the kindle for my family.  I can also edit office documents and with the kind of work that I do, that is a must! The money for this is well worth it.  You will not be disappointed for sure.  I take this everywhere that I go.  I actually like it better than some of my other tablets that I have.  I HIGHLY recommend this!!","joy","positive"
"46",46,3,"Great tablet, here's why:1. 6 inches fits perfectly in your hand and you still feel like you're using a tablet.2. It feels like a quality product. Don't listen to those complaining about weight of tablets, they won't be happy until they hover in  mid air just above your hand. You know when your holding a quality built product and this is a quality tablet.3. Easiest start up for a tablet. They actually walk you though how to use it.4. Amazing picture quality.5. The sound isn't bad for just having 1 speaker. It's about the same as the IPad.6. Really fun to play games on.It's not:1. An IPAD2. A Samsung galaxy3. A cheap wannabe no name tablet that will break in a weekIf you don't drink the ""Apple"" juice or are off in a ""galaxy"" far far away then you won't be disappointed with the Kindle Fire 6. If you're expecting ITUNES or Google Play then you need to do your research on the apps Amazon provides before you buy.","joy","neutral"
"47",47,20,"I was sooo, so excited upon hearing about the new Kindle releases. $99? Who can beat that? Especially for a great brand. Budget tablets and ereaders exist, but I was never willing to sacrifice a better brand with better service even for the cheaper price. Basically all I wanted a tablet for was to read on. I'm a librarian and frequently use our eBooks database, as well as NetGalley, and Kindle books. I've been thinking about a Kindle Fire for ages, but never wanted to shell out the money for it just to read on. While the paperwhites are inexpensive, they have limited features and I like that I can go into my Goodreads app, as well as Facebook, and web browse. It's very helpful for me when searching for new books to read, and reviewing.As I am not looking to do any heavy duty web work, blogging, emailing, video watching, music listening, etc on here, those functions are nice if I ever would need them, but I can't talk about their functionality because right now I don't intend to use it.If you are looking for an inexpensive Kindle that is in a tablet form, not the paperwhite, this is absolutely perfect. There are a few issues with being able to download my books that are not from Kindle, but after a couple of web searches I was able to figure it out. If you are a dedicated reader that uses several platforms, this is worth checking into. It is a way better deal than shelling out $350 for an iPad Mini if you're only intending to read on it.I'm thinking about having our library purchase several of these to have on hand because they are so affordable and nice for readers! I just can't get over how perfect this little tablet will be for reading on, especially when traveling!","joy","positive"
"48",48,16,"So far so good. I have had my Fire HD 6 tablet for about 2 weeks now, and so far I love it! In my opinion it is the perfect size. Its big enough to watch movies and surf the web but small enough to easily toss in your backpack, purse, or even your back pocket! It is a little thicker and heavier compared to other small tablets. Some might think of this as an advantage and others as a disadvantage. I personally think its an advantage. If it was any thinner, it would feel very fragile. The screen image quality is amazing. Everything looks crisp and vibrant. The speed of the tablet is decent. It is very snappy when switching apps and browsing the web. When I watch Amazon prime videos, it loads almost instantly without buffering. The app selection isn't as large as other android tablets that use the Google Play store or Apples app store. But there is still a large number of apps that you can download. It's definitely larger than Microsoft's app store. I have owned Ipads, an Ipad mini, Galaxy tablets, a Microsoft surface, laptops, notebooks, and all kinds of smartphones. This Fire Tablet is by far my favorite device. Mainly because it was only $100. Most of my other devices cost $500 or more and weren't a whole lot nicer or faster. I'm not saying this Fire Tablet is the best tablet out there, but it is definitely the best tablet out there for $100.In summary, here are my Pros and Cons...Pros:PRICE!!!decent speedgreat graphicsportabilitydecent sounddurabilityAmazon Prime integrationChoice of multiple colorsUnlimited cloud storage for picturesCons:thicker and heavierapp selectioncant customize wallpaperssimple (maybe even boring) designBuy this tablet, you wont regret it! If you do, you can always return it :)P.S. For those who are debating buying the tablet without the special promotions, I recommend not doing so. Get the cheaper one because most likely you wont even notice them after a while. If in the future you really don't like the promotions, you can always log into your amazon account and pay an extra $15 to disable the promotions.","joy","neutral"
"49",49,10,"I just bought it and i love what i got for that price (100 US Dollar). Great design (i chose green color), great size and for what i like to do, is just perfect. Read news, articles, books, watch videos, manage documents (Evernote), sometimes i like to play some games. Camera is not the best, but still its useful. Of course Facebook and chat works perfectly.I advice people who wants to buy  it, to also buy the cover and screen protection.","joy","positive"
"50",50,9,"My Perfect Reader! Fits perfectly in my purse, relaxes perfectly by the pool, add a perfect shopping day while taking in the sun....What more could a girl ask for! Love, love, LOVE my Fire HD6! (oh, and the  crystal clear screen is a BONUS!)","joy","positive"
"51",51,-6,"Let me say first that this is my 9th Fire, and I've also had a K3, so I've been around the block with the Amazon family. I'm least pleased with this one--the speakers are wonky, it's VERY slow, and I'm not sure the ""brain"" isn't about to blow. It's notably smaller than the Fire 1s and 2s, which isn't necessarily a good thing, and the software is generally awkward. I expect it's about to take a trip back, being it won't start now, and it's only a few days old.1/16/15: The replacement is even worse than the first, and it won't even turn on now that it's hit the internet. Be warned that it is VERY, very difficult, almost impossible, to reach Fire Customer Service these days; I only fell over it by accident the first time, and now I can't find it at all.VERY disappointed in this Amazon product; I think I'll go buy another Fire 2.","joy","negative"
"52",52,5,"I haven't had it for that long but I am loving it so far. It's the perfect size to slide in my purse and tote around. I paired it with a really nice case (that I also purchased on Amazon), that was inexpensive and it's perfect.","joy","positive"
"53",53,-1,"The storage is very limited. We downloaded 1 movie (Malificient ) and now the storage is alost maxed out. Other than the movie, we only have 5 books.","unknown","negative"
"54",54,2,"I had authentication problems when trying to connect to my network, finally got that worked out, so have only purchased & downloaded 1 book so far (I bought this primarily for reading).  Reading experience is OK, although I will always be a lover of real print.  What I really don't like is that no instructions are included AT ALL.  Not even a ""let's get started"" pamphlet like they included with the Roku I bought.  Amazon wants you to BUY the instruction guide (come on, guys!!), or rely on what's available on the Kindle itself. If you never owned a tablet before, and are not sure of how to navigate, this is frustrating.  I will figure it all out eventually, but for now am having to rely on advice from other Kindle buyers online. Or maybe I will break down and shell out more $ for the instruction manual eventually.  But this was not something I figured into the purchase price when comparison shopping.  Live & learn...","joy","neutral"
"55",55,-2,"I loved mine. I really did. But, it had one serious flaw- the stand-by battery drain. Every time I turned it on, the battery had lost 2-15 %. Nothing I did helped-powering off, removing special offers, turning the brightness down, turning off notifications, keeping it in airplane mode except to download a book, deleting all my apps, even re- registering etc. I had planned to call customer service this week, but one night the battery had 29% left and the next morning it was dead.  I had only managed to read about 50 % of my book. So, I de- registered it and returned it to the Amazon kiosk at the mall. I intended to buy a new one without special offers, but the Kiosk didn't have any. I will order a new one directly from Amazon sometime. My DIL loves the one I gave her for her birthday.Edited 11-23The second Kindle-a new one, not refurbished, is okay. I charged the battery. It lasted 9 hours and 45 minutes, used only to read a book. I think that is probably acceptable. I agree with the people who think it is too heavy for its size. I wish the app could tell me the hours/ minutes of actual use, not just the percentage of life remaining. At least one of the screensavers is too dark to see the keypad where you type in the pass code, with brightness at 50 %. And I would like to turn off the sleep/ wake feature.","disgust","neutral"
